z,T_rho,T,p,qv,qsat,ql,qi,h,T_env,q_env,h_env,ent
3450.0,280.2485119635887,278.80506526674236,67013.58627460402,0.00851817669611646,0.00851817669611646,0.0,0.0,60877.39311723067,279.2094118699867,0.006123135686276941,55284.48064711953,0.00014492753623188405
3500.0,279.96443810268914,278.54008131566,66606.21279915636,0.008413518315776998,0.008413518315776998,0.0,0.0,60837.20970114407,278.9393773375252,0.0060462532947811835,55309.31027192607,0.00014285714285714287
3550.0,279.67990237785335,278.27449291752475,66200.90614645797,0.008309521690203226,0.008309521690203226,0.0,0.0,60798.119970461186,278.66876935624003,0.005969893001827298,55334.90436673003,0.00014084507042253522
3600.0,279.3948863268907,278.0082828427897,65797.65724879093,0.008206181251197044,0.008206181251197044,0.0,0.0,60760.09223305727,278.3975704888793,0.005894050169891336,55361.23343378129,0.0001388888888888889
3650.0,279.10937179486854,277.741434088435,65396.4570498522,0.00810349186395763,0.00810349186395763,0.0,0.0,60723.09612103731,278.12576354425653,0.0058187204877397,55388.26904883641,0.000136986301369863
3700.0,278.82334091096135,277.4739298590862,64997.29650561705,0.008001448805094565,0.008001448805094565,0.0,0.0,60687.102515876846,277.85333155739005,0.005743899953512121,55415.98379819035,0.00013513513513513514
3750.0,278.5367760669154,277.20575354946203,64600.16658515153,0.007900047742132005,0.007900047742132005,0.0,0.0,60652.08347868394,277.5802577710368,0.005669584858950222,55444.35122001923,0.00013333333333333334
3800.0,278.2496598970046,276.9368887280525,64205.0582713776,0.007799284714379648,0.007799284714379648,0.0,0.0,60618.01218516614,277.3065256185155,0.005595771774676144,55473.34574968529,0.00013157894736842105
3850.0,277.96197525936816,276.66731912193677,63811.96256179497,0.007699156115057751,0.007699156115057751,0.0,0.0,60584.86286492667,277.03211870772617,0.005522457536436256,55502.942668695636,0.00012987012987012987
3900.0,277.67370521862614,276.3970286026594,63420.87046916093,0.007599658674573542,0.007599658674573542,0.0,0.0,60552.61074474674,276.757020806277,0.005449639232229267,55533.11805701895,0.0001282051282051282
3950.0,277.3848330296852,276.1260011730926,63031.77302213303,0.007500789444855809,0.007500789444855809,0.0,0.0,60521.23199554468,276.48121582764344,0.005377314190249003,55563.848748509656,0.00012658227848101267
4000.0,277.0953421226483,275.8542209552167,62644.66126587492,0.007402545784662122,0.007402545784662122,0.0,0.0,60490.703682727224,276.2046878182892,0.0053054799675759,55595.11228919974,0.000125
4050.0,276.80521608875654,275.58167217876024,62259.526262629915,0.00730492534578088,0.00730492534578088,0.0,0.0,60461.0037196761,275.9274209456846,0.005234134339557375,55626.88689824234,0.0001234567901234568
4100.0,276.5144386672932,275.30833917064456,61876.35909226231,0.0072079260600569186,0.0072079260600569186,0.0,0.0,60432.110824133866,275.64939948716557,0.005163275289822835,55659.15143131194,0.00012195121951219512
4150.0,276.222993733389,275.0342063451842,61495.150852770435,0.007111546127175319,0.007111546127175319,0.0,0.0,60404.00447727443,275.37060781958144,0.005092901000883351,55691.885346282965,0.00012048192771084337
4200.0,275.9308652866747,274.7592581949994,61115.89266077199,0.007015784003143427,0.007015784003143427,0.0,0.0,60376.664885261824,275.09103040968495,0.005023009845270238,55725.06867102265,0.00011904761904761905
4250.0,275.6380374407271,274.4834792825994,60738.57565196418,0.006920638389415765,0.006920638389415765,0.0,0.0,60350.07294311567,274.8106518052213,0.004953600377170165,55758.681973148414,0.00011764705882352942
4300.0,275.34449441326547,274.2068542326018,60363.19098155973,0.00682610822261143,0.00682610822261143,0.0,0.0,60324.21020072058,274.52945662667776,0.00488467132451812,55792.706331612106,0.00011627906976744187
4350.0,275.05022051705646,273.92936772455494,59989.72982470107,0.006732192664776741,0.006732192664776741,0.0,0.0,60299.0588308258,274.24742955966053,0.0048162215815128785,55827.12330998854,0.00011494252873563218
4400.0,274.75520015148896,273.65100448633353,59618.183376853245,0.006638891094150239,0.006638891094150239,0.0,0.0,60274.60159889787,273.96455534786656,0.004748250201521629,55861.914931350584,0.00011363636363636364
4450.0,274.45941779478574,273.3717492880823,59248.542854177744,0.0065462030963898896,0.0065462030963898896,0.0,0.0,60250.82183469736,273.6808187866219,0.00468075639034325,55897.0636546256,0.00011235955056179776
4500.0,274.1628833858816,273.0916112189977,58880.79949388796,0.006454134550198965,0.006454134550198965,0.0,0.0,60227.743202360725,273.3962287021197,0.004613747543763192,55932.5966895128,0.00011111111111111112
4550.0,273.86583104587703,272.8108307486494,58514.94458836276,0.006362642574356711,0.006362642574356711,0.0,0.0,60205.5013919902,273.11100617380504,0.004547299435649083,55968.926542813395,0.00010989010989010989
4600.0,273.5683249705255,272.529477622601,58150.9697816396,0.006271693193774536,0.006271693193774536,0.0,0.0,60184.08170392331,272.8252290872755,0.004481329524947621,56005.92512801058,0.00010869565217391305
4650.0,273.27034558031994,272.24753221662036,57788.86683800476,0.006181288232616211,0.006181288232616211,0.0,0.0,60163.46859724909,272.53888851187355,0.004415774771284761,56043.42553929759,0.00010752688172043011
4700.0,272.9718729428556,271.96497455860583,57428.62752983386,0.0060914294809158945,0.0060914294809158945,0.0,0.0,60143.64609675322,272.2519645111007,0.004350636420868763,56081.41055491689,0.00010638297872340425
4750.0,272.6728871774087,271.68178470268987,57070.243637563886,0.006002118870556435,0.006002118870556435,0.0,0.0,60124.59861106693,271.9644371835328,0.004285915811274271,56119.86321893802,0.00010526315789473685
4800.0,272.3733684458357,271.3979427210616,56713.7069501982,0.005913358471076417,0.005913358471076417,0.0,0.0,60106.31091363305,271.67628665436996,0.004221614368488786,56158.76682514373,0.00010416666666666667
4850.0,272.0732969440013,271.11342869628174,56359.0092657923,0.005825150485656347,0.005825150485656347,0.0,0.0,60088.76812462525,271.3874930674898,0.004157733604085552,56198.10490174636,0.00010309278350515464
4900.0,271.7726528937169,270.8282227140739,56006.14239192041,0.00573749724726605,0.00573749724726605,0.0,0.0,60071.955693759526,271.09803657798693,0.004094275112509799,56237.861196883925,0.00010204081632653062
4950.0,271.47141653517485,270.5423048565811,55655.09814612449,0.0056504012149568,0.0056504012149568,0.0,0.0,60055.85938394454,270.8078973451855,0.004031240568466882,56278.01966485369,0.00010101010101010101
5000.0,271.16956811986336,270.2556551960769,55305.86835634688,0.0055638649702822104,0.0055638649702822104,0.0,0.0,60040.46525571942,270.51705552611446,0.003968631724401367,56318.56445304502,0.0001
5050.0,270.86708790395375,269.96825378912246,54958.444861346914,0.005477891213832894,0.005477891213832894,0.0,0.0,60025.75965243285,270.2254912694363,0.00390645040805678,56359.479889535796,9.900990099009902e-05
5100.0,270.56395614214773,269.68008067116364,54612.81951110298,0.005392482761870465,0.005392482761870465,0.0,0.0,60011.72918612001,269.9331847098206,0.0038446985201053435,56400.75047131698,9.80392156862745e-05
5150.0,270.26015308197816,269.3911158515618,54268.98416720053,0.005307642543046943,0.005307642543046943,0.0,0.0,59998.360724036655,269.64011596275776,0.0037833780318388245,56442.36085311802,9.70873786407767e-05
5200.0,269.9556589585574,269.10133930905556,53926.93070320696,0.005223373595196354,0.005223373595196354,0.0,0.0,59985.641375813546,269.34626511980747,0.003722490982910606,56484.29583680211,9.615384615384615e-05
5250.0,269.65045398976883,268.810730987652,53586.65100503435,0.005139679062185674,0.005139679062185674,0.0,0.0,59973.55848119698,269.05161224428065,0.0036620394791207966,56526.54036131032,9.523809523809524e-05
5300.0,269.344518371898,268.51927079294535,53248.1369712907,0.005056562190812841,0.005056562190812841,0.0,0.0,59962.09959834323,268.7561373673518,0.003602025690235217,56569.079493127196,9.433962264150943e-05
5350.0,269.03783227570256,268.22693858886487,52911.38051362028,0.004974026327739486,0.004974026327739486,0.0,0.0,59951.25249263649,268.4598204846033,0.0035424518478303,56611.89841725003,9.345794392523364e-05
5400.0,268.7303758429213,267.9337141948541,52576.3735570342,0.004892074916447197,0.004892074916447197,0.0,0.0,59941.00512600498,268.1626415530026,0.0034833202431559305,56654.982428642215,9.259259259259259e-05
5450.0,268.42212918322195,267.63957738348404,52243.10804023167,0.004810711494205534,0.004810711494205534,0.0,0.0,59931.34564670775,267.86458048831435,0.0034246332250080975,56698.316924152634,9.174311926605505e-05
5500.0,268.1130723715926,267.34450787850585,51911.575915912465,0.004729939689040853,0.004729939689040853,0.0,0.0,59922.26237956996,267.5656171629525,0.0033663931976039827,56741.88739488672,9.09090909090909e-05
5550.0,267.80318544617853,267.0484853533477,51581.76915108176,0.004649763216695121,0.004649763216695121,0.0,0.0,59913.743816645,267.2657314042772,0.0033086026184522247,56785.67941901692,9.009009009009009e-05
5600.0,267.49244840657104,266.75148943006366,51253.6797273474,0.004570185877563933,0.004570185877563933,0.0,0.0,59905.778608283086,266.9649029933422,0.0032512639962105853,56829.678655017844,8.928571428571429e-05
5650.0,267.18084121255265,266.45349967874176,50927.2996412109,0.004491211553603266,0.004491211553603266,0.0,0.0,59898.35555458813,266.6631116641004,0.0031943798885241386,56873.87083531665,8.849557522123894e-05
5700.0,266.8683437833078,266.1544956173806,50602.620904352305,0.004412844205194663,0.004412844205194663,0.0,0.0,59891.46359724588,266.3603371030762,0.0031379528998370016,56918.241760350225,8.771929824561403e-05
5750.0,266.5549359971059,265.8544567122444,50279.63554390979,0.00433508786795878,0.00433508786795878,0.0,0.0,59885.09181170866,266.05655894951445,0.003081985679170842,56962.777293022,8.695652173913044e-05
5800.0,266.2405976914662,265.55336237870756,49958.33560275416,0.004257946649507044,0.004257946649507044,0.0,0.0,59879.22939972109,265.7517567960151,0.0030264809178627405,57007.46335354803,8.620689655172413e-05
5850.0,265.92530866381526,265.25119198260006,49638.71313975997,0.0041814247261215565,0.0041814247261215565,0.0,0.0,59873.86568217524,265.4459101896654,0.0029714413472562216,57052.28591469038,8.547008547008547e-05
5900.0,265.60904867264804,264.94792484206704,49320.760230072374,0.004105526339353616,0.004105526339353616,0.0,0.0,59868.99009228267,265.1389986336839,0.0029168697363390087,57097.23099737466,8.474576271186441e-05
5950.0,265.29179743920304,264.64354022995553,49004.46896537144,0.004030255792530719,0.004030255792530719,0.0,0.0,59864.5921690525,264.83100158958473,0.002862768889320084,57142.28466668251,8.403361344537815e-05
6000.0,264.9735346496666,264.338017376743,48689.831454133884,0.003955617447163011,0.003955617447163011,0.0,0.0,59860.66155106719,264.5218984798804,0.002809141643140398,57187.43302822296,8.333333333333333e-05
6050.0,264.6542399579181,264.03133547402217,48376.83982189347,0.00388161571923902,0.00388161571923902,0.0,0.0,59857.187970545434,264.21166869133555,0.002755990864910602,57232.6622248786,8.264462809917356e-05
6100.0,264.3338929888304,263.72347367855843,48065.48621149944,0.0038082550754019377,0.0038082550754019377,0.0,0.0,59854.16124768659,263.90029157878604,0.00270331944926923,57277.95843392516,8.19672131147541e-05
6150.0,264.01247334214185,263.4144111169353,47755.76278337527,0.0037355400289965806,0.0037355400289965806,0.0,0.0,59851.57128528825,263.58774646954134,0.0026511303156554773,57323.30786452745,8.130081300813008e-05
6200.0,263.68996059691204,263.1041268908049,47447.6617157765,0.00366347513597838,0.00366347513597838,0.0,0.0,59849.40806363202,263.2740126683841,0.0025994264054902453,57368.69675561027,8.064516129032258e-05
6250.0,263.3663343165811,262.79260008276077,47141.175205049585,0.003592064990674989,0.003592064990674989,0.0,0.0,59847.6616356321,262.9590694631857,0.0025482106792595696,57414.111374108616,8e-05
6300.0,263.04157405464434,262.4798097628501,46836.295465891766,0.0035213142213919024,0.0035213142213919024,0.0,0.0,59846.32212224197,262.64289613115176,0.0024974861134941227,57459.5380135956,7.936507936507937e-05
6350.0,262.7156593609631,262.16573499574315,46533.01473161243,0.003451227485853408,0.003451227485853408,0.0,0.0,59845.379708116576,262.3254719457196,0.002447255697639875,57504.96299329794,7.874015748031496e-05
6400.0,262.3885697887246,261.850354848578,46231.325254396754,0.0033818094664703154,0.0033818094664703154,0.0,0.0,59844.824637526195,262.00677618411976,0.0023975224308133173,57550.372657495325,7.8125e-05
6450.0,262.06028490207024,261.5336483994979,45931.21930557201,0.0033130648654263782,0.0033130648654263782,0.0,0.0,59844.64721052035,261.6867881356236,0.0023482893184365366,57595.75337531372,7.751937984496124e-05
6500.0,261.73078428440743,261.2155947468998,45632.689175877415,0.003244998399575266,0.003244998399575266,0.0,0.0,59844.83777933959,261.3654871104905,0.0022995593687463716,57641.091540912596,7.692307692307693e-05
6550.0,261.400047547423,260.89617301941087,45335.72717573754,0.0031776147951408443,0.0031776147951408443,0.0,0.0,59845.38674507543,261.042852449636,0.002251335589173137,57686.37357407602,7.633587786259542e-05
6600.0,261.068054340813,260.5753623866106,45040.32563554046,0.0031109187822129566,0.0031109187822129566,0.0,0.0,59846.28455457602,260.7188635350342,0.0022036209825836727,57731.58592120878,7.575757575757576e-05
6650.0,260.7347843627461,260.25314207051554,44746.4769059205,0.0030449150890323653,0.0030449150890323653,0.0,0.0,59847.52169759989,260.39349980087263,0.002156418543384369,57776.715056744404,7.518796992481203e-05
6700.0,260.400217371075,259.9294913578418,44454.173358046726,0.0029796084360580537,0.0029796084360580537,0.0,0.0,59849.088704216614,260.0667407454756,0.0021097312534801103,57821.74748497241,7.462686567164179e-05
6750.0,260.0643331953113,259.60438961306187,44163.4073839175,0.002915003529811112,0.002915003529811112,0.0,0.0,59850.97614245636,259.7385659440099,0.0020635620780850403,57866.66974228814,7.407407407407407e-05
6800.0,259.72711174937695,259.27781629226854,43874.17139666151,0.0028511050564899013,0.0028511050564899013,0.0,0.0,59853.17461620959,259.40895506198814,0.0020179139613818987,57911.46839987303,7.352941176470588e-05
6850.0,259.3885330451449,258.94975095786015,43586.457830845815,0.002787917675351629,0.002787917675351629,0.0,0.0,59855.67476337849,259.07788786958145,0.0019727898220267453,57956.13006680939,7.299270072992701e-05
6900.0,259.0485772067811,258.62017329405813,43300.25914279182,0.0027254460118564736,0.0027254460118564736,0.0,0.0,59858.467254283,258.7453442567539,0.001928192548496602,58000.64139363672,7.246376811594203e-05
6950.0,258.7072244858963,258.28906312326666,43015.567810898945,0.00266369465057083,0.00266369465057083,0.0,0.0,59861.542790322805,258.4113042492288,0.0018841249942780941,58044.989076354745,7.194244604316547e-05
7000.0,258.3644552775175,257.95640042328307,42732.3763359775,0.0026026681278273683,0.0026026681278273683,0.0,0.0,59864.89210289923,258.07574802529274,0.0018405899728952744,58089.15986087592,7.142857142857143e-05
7050.0,258.02025013688285,257.6221653453642,42450.67724159,0.0025423709241403614,0.0025423709241403614,0.0,0.0,59868.50595259877,257.738655933446,0.0017975902527761429,58133.14054793419,7.092198581560284e-05
7100.0,257.6745897970672,257.28633823315283,42170.46307440265,0.0024828074563757563,0.0024828074563757563,0.0,0.0,59872.37512864207,257.40000851090235,0.0017551285519577817,58176.91799845416,7.042253521126761e-05
