CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b
,,,-9109.720428681394,0.00583741372902821,4.0,0.22,4250.0,0.00021320890165111268
,,,-9878.672161433235,0.005572774323167435,5.0,0.22,4250.0,0.0002665111270638909
,,,-10450.665378394595,0.00531299766428943,6.0,0.22,4200.0,0.000319813352476669
,,,-10882.969105635479,0.005106253061232952,7.0,0.22,4200.0,0.00037123115577889453
,,,-11212.262963400775,0.004920570124496694,8.0,0.22,4200.0,0.0004242641780330223
,,,-11468.998248090247,0.004751053977945303,9.0,0.22,4200.0,0.00047729720028715
,,,-11663.39085535438,0.004597951174731327,10.0,0.22,4200.0,0.0005303302225412779
,,,-11810.957097052225,0.004457070727955625,11.0,0.22,4200.0,0.0005833632447954057
,,,-11932.844820107188,0.004307099938479014,12.0,0.22,4150.0,0.0006331658291457286
,,,-12015.489680035389,0.004188560619565696,13.0,0.22,4150.0,0.000685929648241206
,,,-12078.92471111456,0.004076687457809689,14.0,0.22,4150.0,0.0007386934673366835
,,,-12122.250822794325,0.003973122034324197,15.0,0.22,4150.0,0.0007914572864321607
,,,-12150.351575064298,0.003876683250623318,16.0,0.22,4150.0,0.0008442211055276382
,,,-12168.41120357719,0.003784934542504424,17.0,0.22,4150.0,0.0008924084709260588
,,,-12173.858356778932,0.0036993486236680793,18.0,0.22,4150.0,0.0009449030868628858
,,,-12166.406960397493,0.003618804855607761,19.0,0.22,4150.0,0.0009973977027997127
,,,-12157.753175697784,0.0035417111397768835,20.0,0.22,4150.0,0.00104989231873654
,,,-12139.82339441149,0.003456379548958745,21.0,0.22,4100.0,0.0011023869346733668
,,,-12109.84648447398,0.003389724505013682,22.0,0.22,4100.0,0.001148959081119885
,,,-12083.684352087395,0.0033245550754027403,23.0,0.22,4100.0,0.0012011844938980617
,,,-12060.94122790968,0.0032605804955522727,24.0,0.22,4100.0,0.0012534099066762382
,,,-12023.871476305889,0.00320343344884932,25.0,0.22,4100.0,0.001305635319454415
,,,-11978.212556480794,0.0031477745950859327,26.0,0.22,4100.0,0.0013578607322325914
,,,-11938.451076388694,0.003093628920565311,27.0,0.22,4100.0,0.001402817659727207
,,,-11901.671807608167,0.0030414550499208277,28.0,0.22,4100.0,0.0014547738693467336
,,,-11857.876677431654,0.0029929823430949465,29.0,0.22,4100.0,0.0015067300789662597
,,,-11808.569047083169,0.0029457323594264447,30.0,0.22,4100.0,0.0015586862885857858
0.0,0.0,0.0,-2.628212131370674,0.007072633000324725,0.0,0.26,4300.0,0.0
,,,-3914.6463188789785,0.006601040938515711,1.0,0.26,4300.0,5.357142857142857e-05
,,,-6191.835598760801,0.006216938814133587,2.0,0.26,4300.0,0.00010660445082555634
,,,-7683.809268746918,0.005861822403093052,3.0,0.26,4250.0,0.0001599066762383345
,,,-8729.39661792609,0.0055869143517473345,4.0,0.26,4250.0,0.00021320890165111268
,,,-9493.30243591663,0.005346797983265099,5.0,0.26,4250.0,0.0002665111270638909
,,,-10069.379793870292,0.005133799593879619,6.0,0.26,4250.0,0.000319813352476669
,,,-10511.705017029439,0.0049196008135180625,7.0,0.26,4200.0,0.00037123115577889453
,,,-10854.682695470292,0.004749512608505487,8.0,0.26,4200.0,0.0004242641780330223
,,,-11127.364956259102,0.004593812012440996,9.0,0.26,4200.0,0.00047729720028715
,,,-11339.017854500707,0.0044528209914946534,10.0,0.26,4200.0,0.0005303302225412779
,,,-11504.784281475848,0.004322783539042221,11.0,0.26,4200.0,0.0005833632447954057
,,,-11644.848124631295,0.0042009477785675195,12.0,0.26,4200.0,0.0006331658291457286
,,,-11745.8718295601,0.004072844553708858,13.0,0.26,4150.0,0.000685929648241206
,,,-11827.795472346726,0.0039689517658239954,14.0,0.26,4150.0,0.0007386934673366835
,,,-11889.273562734998,0.003872587448440871,15.0,0.26,4150.0,0.0007914572864321607
